Invoice #,Customer,Amount,Invoice Date,Due Date,GSTIN
INV-2026-9001,Sundaram Auto Comp.,245000,05/03/2026,04/04/2026,
INV-2026-9002,Krishna Textiles,88000,12/02/2026,13/03/2026,
INV-2026-9003,Deccan Steel Traders Pvt Ltd,156000,18/02/2026,,
INV-2026-9004,Anand Enterprises,Rs. Twelve Thousand,01/03/2026,31/03/2026,
INV-2026-9005,Meridian Logistics LLP,410000,03/04/2026,03/05/2026,
INV-2026-9006,,72000,20/01/2026,19/02/2026,
INV-2026-9007,Gujarat Polymers Pvt Ltd,-5000,10/02/2026,12/03/2026,
INV-2026-9008,Surya Pipes & Fittings,199000,32/02/2026,03/03/2026,
INV-2026-9009,Sri Lakshmi Agencies,134500,15/03/2026,14/02/2026,
INV-2026-9010,Highland Ceramics,"88,000.50",2026/03/01,2026/03/31,BADGSTIN123
